date,ad_type,asin,sku,impressions,clicks,spend,sales,orders,units
2026-02-03,SB,B07JM7GQG4,SC-ORIG-K-78x72x8,19539.666666666664,35.0,1193.49,0.0,0.0,0.0
2026-02-03,SB,B08KT1QRHJ,SC-CLPILW-S-27x18,762.0,15.0,113.25,2877.96,2.0,2.0
2026-02-03,SB,B08R7MX63N,SC-CLPILWSET2-S-27x18,6087.0,12.0,61.74,705.37,1.0,1.0
2026-02-03,SB,B08R8DC5BB,SC-MFPILWSET2-BAM-S-25x16,6087.0,12.0,61.74,705.37,1.0,1.0
2026-02-03,SB,B09XFF5LPL,SC-MFPILW-BAM-C-25x16,95.0,4.0,12.86,0.0,0.0,0.0
2026-02-03,SB,B09XFKM8V6,SC-HYB-LATEX-K-78x72x6,176.0,1.0,45.66,0.0,0.0,0.0
2026-02-03,SB,B09XFRNJCD,SC-HYB-LATEX-Q-75x60x8,185.0,13.0,258.69,0.0,0.0,0.0
2026-02-03,SB,B09XGCSRXY,SC-HYB-LATEX-K-78x72x8,19539.666666666664,35.0,1193.49,0.0,0.0,0.0
2026-02-03,SB,B09XGRWRST,SC-ULTM-K-78x72x8,20086.666666666664,37.0,1200.69,0.0,0.0,0.0
2026-02-03,SB,B0CV17V482,SC-LITEPILWPSET2-S-27X17,23033.0,99.0,1174.61,705.37,1.0,1.0
2026-02-03,SB,B0D58NBSN9,SC-ULTM-LATEX-K-78x72x8,244.99999999999997,14.0,304.34,0.0,0.0,0.0
2026-02-03,SBV,B0732Y4N37,SC-ORIG-K-78x72x6,38090.0,185.0,2461.67,0.0,0.0,0.0
2026-02-03,SBV,B09XFKM8V6,SC-HYB-LATEX-K-78x72x6,1328.0,11.666666666666668,222.24,0.0,0.0,0.0
2026-02-03,SBV,B0D58NBSN9,SC-ULTM-LATEX-K-78x72x8,1328.0,11.666666666666666,222.24,0.0,0.0,0.0
2026-02-03,SD,B077Q9YRMY,SC-ORIG-D-72x48x6,49492.0,92.0,1032.53,0.0,0.0,0.0
2026-02-03,SD,B077QJVWBR,SC-ORIG-K-72x72x6,24255.0,66.0,653.68,10372.03,1.0,1.0
2026-02-03,SD,B0784G85Q4,SC-ORIG-Q-75x66x6,13266.0,17.0,261.13,0.0,0.0,0.0
