asin,date,sessions,units ordered,ordered product sales,page views,buy box percentage
B0FVS9RRLZ,2026-01-01,4,0,0.0,4,100.0
B0D58N56P9,2026-01-01,23,0,0.0,27,92.31
B09BYWZCXM,2026-01-01,374,4,7960.0,475,100.0
B0DDCGSSHD,2026-01-01,5,0,0.0,7,100.0
B0DDCDCCZG,2026-01-01,1,0,0.0,1,100.0
B09XGRWRST,2026-01-01,128,0,0.0,157,99.31
B0822XLRG1,2026-01-01,6,0,0.0,7,100.0
B07M72KSRM,2026-01-01,160,2,28558.0,210,100.0
B09XFL1FR1,2026-01-01,144,0,0.0,195,98.94
B0732TMKP8,2026-01-01,82,0,0.0,133,96.55
B0D58P2PVJ,2026-01-01,20,0,0.0,21,100.0
B0DDCCN3MS,2026-01-01,5,1,2549.0,5,100.0
B0CWD8Y3BH,2026-01-01,15,0,0.0,19,100.0
B0G7J4C6P3,2026-01-01,126,0,0.0,199,97.28
B0DDCD56KV,2026-01-01,6,0,0.0,8,100.0
B0F2THYW5S,2026-01-01,64,1,15639.0,82,98.68
B0DDCDDFGR,2026-01-01,2,1,2252.0,2,100.0
B0CWZ8YQJM,2026-01-01,14,0,0.0,17,94.12
B0CTTLMJJ7,2026-01-01,10,0,0.0,12,100.0
B09XGGGP3H,2026-01-01,16,0,0.0,21,95.24
B0CZLKDPP3,2026-01-01,8,0,0.0,9,100.0
B09XGNVN9N,2026-01-01,116,2,25738.0,157,99.34
B0DDCGB18J,2026-01-01,1,0,0.0,1,100.0
B0C2ZQVLPS,2026-01-01,12,1,2116.0,24,100.0
B0F2TJJVDM,2026-01-01,5,0,0.0,6,100.0
B0G2569T27,2026-01-01,20,0,0.0,25,95.24
B0DGSXX8RN,2026-01-01,18,0,0.0,25,100.0
B0822VYH6P,2026-01-01,3,0,0.0,4,100.0
B0CWS28HXY,2026-01-01,15,0,0.0,20,100.0
B09XFMX37N,2026-01-01,326,0,0.0,406,99.74
B0C33D2QK2,2026-01-01,42,0,0.0,47,100.0
B077Q9YRMY,2026-01-01,155,2,17406.0,189,99.44
B09XGPQKRQ,2026-01-01,11,0,0.0,11,72.73
B07JM7GQG4,2026-01-01,237,2,30526.0,350,99.01
B0FSTJ7FFJ,2026-01-01,13,0,0.0,18,100.0
B09XFKM8V6,2026-01-01,426,2,33118.0,561,99.04
B08KTCLX7R,2026-01-01,171,1,1597.0,218,100.0
B0822X8LZY,2026-01-01,10,1,890.0,27,100.0
B0FHHZ7NF7,2026-01-01,15,0,0.0,15,100.0
B09XFRNJCD,2026-01-01,122,2,31678.0,193,98.28
B0DZP8GXDV,2026-01-01,82,3,2772.0,97,82.42
B0DVGX3R99,2026-01-01,4,1,980.0,4,100.0
B09XGCSRXY,2026-01-01,345,5,92159.0,507,98.51
B0G255BCC2,2026-01-01,32,2,13984.0,38,100.0
B0F1937F9V,2026-01-01,9,2,3734.0,15,100.0
B0DDCPDLV5,2026-01-01,8,1,899.0,8,100.0
B0CTTL72LC,2026-01-01,2,1,1691.0,2,100.0
B0FMNWZFQ9,2026-01-01,27,0,0.0,32,100.0
B0BX6PXMT9,2026-01-01,12,0,0.0,14,100.0
B0822XBCF1,2026-01-01,4,1,800.0,5,100.0
B0BX6R58GZ,2026-01-01,6,0,0.0,7,100.0
B0G25BHBT6,2026-01-01,1,0,0.0,1,0.0
B0DDCCT25F,2026-01-01,23,0,0.0,26,88.0
B09XGGZVSB,2026-01-01,48,1,9281.0,59,90.74
B0FMP5Y17Y,2026-01-01,6,1,1749.0,10,100.0
B0CWD4B59K,2026-01-01,22,0,0.0,25,100.0
B0822W49Z9,2026-01-01,9,0,0.0,13,100.0
B09XGDZQPC,2026-01-01,278,3,45781.0,421,97.7
B0822W6ZCG,2026-01-01,24,0,0.0,39,100.0
B0784G85Q4,2026-01-01,16,0,0.0,21,100.0
B0BZVR2WCP,2026-01-01,96,0,0.0,120,100.0
B0D58LWV2B,2026-01-01,20,0,0.0,26,100.0
B0G722YTNC,2026-01-01,25,0,0.0,32,100.0
B0CWL313ZC,2026-01-01,122,6,3504.0,169,98.69
