date,channel,orders,revenue
2026-05-24,Amazon.in,28,306463.0
2026-05-25,Amazon.in,29,301514.0
2026-05-26,Amazon.in,34,354656.0
2026-05-27,Amazon.in,17,121125.0
2026-05-28,Amazon.in,23,139460.0
2026-05-29,Amazon.in,21,168659.0
2026-05-24,Offline,38,382427.1
2026-05-25,Offline,50,414674.26
2026-05-26,Offline,53,448528.09
2026-05-27,Offline,32,230926.82
2026-05-28,Offline,30,251965.69
2026-05-29,Offline,49,514870.02
2026-05-30,Offline,1,31979.0
2026-05-24,Shopify,146,1405527.54
2026-05-25,Shopify,131,1041488.93
2026-05-26,Shopify,116,1119144.15
2026-05-27,Shopify,143,1219003.46
2026-05-28,Shopify,116,1077871.99
2026-05-29,Shopify,134,1312006.63
2026-05-30,Shopify,11,82888.36
2026-05-24,QueueBuster,98,2110693.69
2026-05-25,QueueBuster,60,1546311.46
2026-05-26,QueueBuster,52,1402235.94
2026-05-27,QueueBuster,59,1578585.92
2026-05-28,QueueBuster,49,1089070.92
2026-05-29,QueueBuster,53,1346884.23
