date,sku,asin,product,category,units,listing_price,clf,oiv,customer_price
2026-03-01,SC-BABY48244,B07Y37P1T3,Baby Mattress,Mattress,1,1650.0,457.0,2107.0,1650.0
2026-03-01,SC-F-4TFOLD-BL-72X48,B0FHF65C2R,Tri-fold Mattress,Mattress,1,4822.0,810.0,5632.0,4259.0
2026-03-01,SC-F-COMF90x60,B08KTCLX7R,Reversible Comforter,Bedding,1,1127.0,250.0,1377.0,1127.0
2026-03-01,SC-F-CON-MFPILWS2-BAM-24x14,B09XFG77VR,Contour Bamboo MF Pillow,Pillows,3,5367.0,633.0,6000.0,5367.0
2026-03-01,SC-F-HYB-LATEX-D-72x48x6,B09XFLYZ66,Hybrid Latex Mattress,Mattress,1,9065.0,950.0,10015.0,8864.0
2026-03-01,SC-F-HYB-LATEX-D-78x48x6,B09XGGGFCX,Hybrid Latex Mattress,Mattress,1,9641.0,950.0,10591.0,8231.0
2026-03-01,SC-F-HYB-LATEX-K-72x72x6,B09XGDZQPC,Hybrid Latex Mattress,Mattress,5,64959.0,6150.0,71109.0,58827.0
2026-03-01,SC-F-HYB-LATEX-K-72x72x8,B09XFMGSKV,Hybrid Latex Mattress,Mattress,2,30242.0,2860.0,33102.0,29470.0
2026-03-01,SC-F-HYB-LATEX-K-75x70x6,B0F2TGGZSR,Hybrid Latex Mattress,Mattress,1,13457.0,1230.0,14687.0,12593.0
2026-03-01,SC-F-HYB-LATEX-K-75x72x6,B09XFLVCHN,Hybrid Latex Mattress,Mattress,2,26814.0,2460.0,29274.0,23143.0
2026-03-01,SC-F-HYB-LATEX-K-75x72x8,B09XFL1FR1,Hybrid Latex Mattress,Mattress,2,30962.0,2860.0,33822.0,29123.0
2026-03-01,SC-F-HYB-LATEX-K-78x72x6,B09XFKM8V6,Hybrid Latex Mattress,Mattress,3,41881.0,3690.0,45571.0,36160.0
2026-03-01,SC-F-HYB-LATEX-K-78x72x8,B09XGCSRXY,Hybrid Latex Mattress,Mattress,3,47629.0,4290.0,51919.0,43561.0
2026-03-01,SC-F-HYB-LATEX-Q-72x60x6,B09XGNVN9N,Hybrid Latex Mattress,Mattress,1,11291.0,1230.0,12521.0,9430.0
2026-03-01,SC-F-HYB-LATEX-Q-78x66x8,B0F2TKCPX5,Hybrid Latex Mattress,Mattress,1,15263.0,0.0,15263.0,15034.0
