customer_search_term,impressions,clicks,spend,14_day_total_sales,14_day_total_orders,match_type,date,campaign_name,ad_group_name
"""extra firm"" bonded foam mattress",2,2,55.7,0,0,PHRASE,2026-04-21,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
"""sleepycat contour cooltec memory foam pillow",1,1,20.44,1999.0,1,BROAD,2026-04-22,SPKT | PILLOW | Contour Ortho | Generic | BMM,Ad group - 27/12/2024 17:10:49.867
#mattress,2,1,26.52,0,0,EXACT,2026-04-13,SPKT | MATTRESS | ORIGINAL | GENERIC | ALL SIZE | EXACT {},QUEEN
(78x62x4 inch) mattress,2,1,20.36,0,0,PHRASE,2026-04-29,SPKT | MATTRESS | Original | Generic | All Size | Phrase,Phrase
(pcm) pillows,8,1,5.98,0,0,PHRASE,2026-04-19,SPKT | PILLOW | Cloud | Generic | Phrase,Phrase
", mattress 51x78",1,1,20.08,0,0,PHRASE,2026-04-19,SPKT | MATTRESS | Original | Generic | All Size | Phrase,Phrase
.foldable mattress,1,1,6.44,0,0,TARGETING_EXPRESSION_PREDEFINED,2026-04-24,SPA | Mattress | Foldable Mattress | Auto,Foldable Mattress
.mattress foldable,3,1,16.69,0,0,PHRASE,2026-04-21,SPKT | Mattress | Foldable | Generic | Exact {},Foldable Mattress
0 volt therapy bed sheet terrestrial nu,1,1,9.78,0,0,TARGETING_EXPRESSION_PREDEFINED,2026-04-28,SPKT | BEDDING | Cotton Fitted Bedsheet | Auto,Ad group - 9/1/2025 17:52:14.000
1 colour queen size comforter,1,1,9.48,0,0,PHRASE,2026-04-22,SPKT | BEDDING | Comforters | Generic | Phrase,Exact
1 day delivery mattress,18,1,30.83,0,0,PHRASE,2026-04-30,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
1 day delivery mattress,330,1,16.57,0,0,EXACT,2026-04-18,SPKT | MATTRESS | ORIGINAL | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
1 day delivery mattress,216,1,19.42,0,0,EXACT,2026-04-20,SPKT | MATTRESS | ORIGINAL | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
1 day delivery mattress,264,2,38.84,0,0,EXACT,2026-04-23,SPKT | MATTRESS | ORIGINAL | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
1 day delivery mattress,179,1,19.42,0,0,EXACT,2026-04-24,SPKT | MATTRESS | ORIGINAL | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
1 day delivery mattress,163,1,13.68,0,0,EXACT,2026-04-25,SPKT | MATTRESS | ORIGINAL | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
1 day delivery mattress,247,1,19.42,0,0,EXACT,2026-04-26,SPKT | MATTRESS | ORIGINAL | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
1 day delivery mattress,182,1,19.42,0,0,EXACT,2026-04-27,SPKT | MATTRESS | ORIGINAL | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
1 day delivery mattress,193,1,19.42,0,0,EXACT,2026-04-28,SPKT | MATTRESS | ORIGINAL | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
1 day delivery mattress,133,1,19.42,0,0,EXACT,2026-04-30,SPKT | MATTRESS | ORIGINAL | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
1 day delivery mattress,250,1,19.42,0,0,EXACT,2026-05-01,SPKT | MATTRESS | ORIGINAL | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
1 day delivery mattress,12,1,17.25,0,0,EXACT,2026-04-17,SPKT | MATTRESS | LATEX ORTHO | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
1 day delivery mattress,1,1,17.25,0,0,EXACT,2026-05-02,SPKT | MATTRESS | LATEX ORTHO | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
1 day delivery mattress,1,1,3.37,0,0,TARGETING_EXPRESSION,2026-05-02,SPPT | Mattress | Foldable | Competition,SPPT | Mattress | Foldable | Competition |
1 day delivery mattress,16,1,7.13,5422.88,1,TARGETING_EXPRESSION,2026-04-28,SPCT | Mattress | Foldable | Category,SPCT | Mattress | Foldable | Category
1 inch bed mattress king size,2,1,19.91,0,0,TARGETING_EXPRESSION,2026-05-02,SPPT | BEDDING | MF MATTRESS | TOPPER | COMPETITION + CATEGORY {},MF TOPPER
1 inch cool gel memory foam mattress topper,3,1,21.24,0,0,PHRASE,2026-04-16,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch foam mattress,8,1,27.08,0,0,PHRASE,2026-04-14,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
1 inch foldable mattresses,52,1,18.99,0,0,PHRASE,2026-04-16,SPKT | Mattress | Foldable | Generic | Exact {},Foldable Mattress
1 inch foldable mattresses,7,1,11.12,0,0,PHRASE,2026-05-01,SPKT | Mattress | Foldable | Generic | Exact {},Foldable Mattress
1 inch hard foam mattress,1,1,22.4,0,0,TARGETING_EXPRESSION,2026-05-02,SPPT | BEDDING | PROTECTOR | COMPETITION {},SPPT | BEDDING | PROTECTOR | COMPETITION
1 inch height pillow,4,2,35.49,0,0,PHRASE,2026-04-21,SPKT | Pillow | MF Small | Memory Foam | Generic | Exact + Phrase {},Small MF Pillow
1 inch latex mattress,3,2,62.16,0,0,PHRASE,2026-04-16,SPKT | Mattress | Latex | Generic | SKW | Latex Mattress,HYBRID LATEX
1 inch latex mattress topper,126,1,30.1,0,0,PHRASE,2026-04-12,SPKT | Mattress | Latex | Generic | SKW | Latex Mattress,HYBRID LATEX
1 inch latex mattress topper,19,1,31.16,0,0,PHRASE,2026-04-13,SPKT | Mattress | Latex | Generic | SKW | Latex Mattress,HYBRID LATEX
1 inch latex mattress topper,14,1,21.68,0,0,PHRASE,2026-04-14,SPKT | Mattress | Latex | Generic | SKW | Latex Mattress,HYBRID LATEX
1 inch latex mattress topper,14,1,32.3,0,0,PHRASE,2026-04-24,SPKT | Mattress | Latex | Generic | SKW | Latex Mattress,HYBRID LATEX
1 inch latex mattress topper,11,1,34.21,0,0,PHRASE,2026-05-01,SPKT | Mattress | Latex | Generic | SKW | Latex Mattress,HYBRID LATEX
1 inch latex mattress topper,50,2,30.52,0,0,PHRASE,2026-04-12,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch latex mattress topper,15,1,24.12,0,0,PHRASE,2026-04-16,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch latex mattress topper,22,1,24.6,0,0,PHRASE,2026-04-18,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch latex mattress topper,24,2,34.06,0,0,PHRASE,2026-04-19,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch latex mattress topper,26,1,14.16,0,0,PHRASE,2026-04-20,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch latex mattress topper,17,1,13.95,4660.17,1,PHRASE,2026-04-21,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch latex mattress topper,14,1,13.66,846.61,1,PHRASE,2026-04-23,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch latex mattress topper,28,1,24.15,0,0,PHRASE,2026-04-27,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch latex mattress topper,20,1,21.48,0,0,PHRASE,2026-04-28,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch latex mattress topper,23,1,13.87,0,0,PHRASE,2026-05-01,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch latex mattress topper,24,2,41.11,0,0,PHRASE,2026-05-02,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch mattress topper,23,1,18.79,0,0,PHRASE,2026-04-20,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch mattress topper,48,1,19.67,0,0,PHRASE,2026-04-24,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch mattress topper,19,2,43.48,0,0,PHRASE,2026-04-25,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch mattress topper,23,2,51.16,0,0,PHRASE,2026-05-01,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch mattress topper queen size,2,1,2.25,0,0,PHRASE,2026-04-13,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch mattresses,728,1,27.28,0,0,PHRASE,2026-05-01,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
1 inch mattresses topper,1,1,27.72,0,0,PHRASE,2026-04-30,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch memory foam mattress,2,1,19.37,0,0,TARGETING_EXPRESSION,2026-04-19,SPPT | BEDDING | MF MATTRESS | TOPPER | COMPETITION + CATEGORY {},MF TOPPER
1 inch memory foam mattress topper single bed,42,2,32.94,0,0,PHRASE,2026-04-21,SPKT | BEDDING | MF MATTRESS | TOPPER | GENERIC | EXACT + PHRASE {},MF TOPPER
1 inch pillow,71,1,10.23,0,0,PHRASE,2026-04-13,SPKT | Pillow | MF Small | Memory Foam | Generic | Exact + Phrase {},Small MF Pillow
1 inch pillow,45,1,12.14,0,0,PHRASE,2026-04-15,SPKT | Pillow | MF Small | Memory Foam | Generic | Exact + Phrase {},Small MF Pillow
1 inch pillow,30,1,5.09,0,0,PHRASE,2026-04-20,SPKT | Pillow | MF Small | Memory Foam | Generic | Exact + Phrase {},Small MF Pillow
1 inch pillow,17,1,11.9,0,0,PHRASE,2026-04-21,SPKT | Pillow | MF Small | Memory Foam | Generic | Exact + Phrase {},Small MF Pillow
1 inch pillow,45,1,13.15,0,0,PHRASE,2026-04-22,SPKT | Pillow | MF Small | Memory Foam | Generic | Exact + Phrase {},Small MF Pillow
